,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,volume
H13,0.0,0.0,0.0,0.0,0.0,0.0,-2.898753687325195,2.898753687325195,0.0,-2.898753687325195,0.0,0.0,0.0,0.0,0.0,2.898753687325195,-2.898753687325195,0.0,2.9852963149681333,0.0,0.0,-6.062462181643502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6359000.0
5EV,0.0,0.0,0.0,8.004270767353638,0.0,-7.410797215372189,7.410797215372189,0.0,-8.004270767353638,0.0,-15.415067982725827,0.0,-7.410797215372189,0.0,0.0,8.004270767353638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.004270767353638,0.0,0.0,0.0,0.0,6553000.0
i26,0.0,0.0,0.0,-28.768207245178125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.768207245178125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.768207245178125,6966000.0
5FX,4.2559614418795855,-4.2559614418795855,-4.2559614418795855,-4.2559614418795855,0.0,-4.082199452025526,-4.082199452025526,0.0,-3.922071315328135,-3.922071315328135,0.0,-3.774032798284699,0.0,7.410797215372189,0.0,-3.774032798284699,0.0,0.0,0.0,0.0,3.922071315328135,0.0,0.0,0.0,3.922071315328135,0.0,0.0,0.0,0.0,0.0,8727000.0
I12,0.0,-11.77830356563836,11.77830356563836,11.77830356563836,-11.77830356563836,11.77830356563836,0.0,0.0,-11.77830356563836,11.77830356563836,-22.314355131420992,10.536051565782634,0.0,0.0,0.0,0.0,11.77830356563836,0.0,11.77830356563836,0.0,0.0,0.0,-11.77830356563836,0.0,11.77830356563836,-11.77830356563836,0.0,0.0,0.0,0.0,10558700.0
F03,0.0,0.0,0.0,-2.898753687325195,2.81708769666964,0.0,0.0,2.898753687325195,-2.898753687325195,0.0,0.0,0.0,-2.666824708216131,2.666824708216131,0.0,2.7398974188114544,0.0,2.81708769666964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81708769666964,0.0,0.0,0.0,0.0,11329000.0
F25U,0.7905179507113225,0.7905179507113225,0.7905179507113225,0.0,0.0,0.0,0.8032171697264223,-0.8097210232619334,0.0,-0.8097210232619334,0.0,-0.8097210232619334,0.0,0.0,0.0,0.0,-0.8097210232619334,-1.6000341346440905,0.0,-1.562531790308097,-2.2989518224698635,0.760459938521918,0.0,-0.778214044205483,0.778214044205483,0.7843177461026141,-1.562531790308097,0.0,0.0,-0.778214044205483,11820000.0
5GI,0.0,3.278982282299092,0.0,-3.278982282299092,3.278982282299092,3.278982282299092,0.0,3.278982282299092,0.0,0.0,4.725288485054557,-4.512043528046961,0.0,0.0,0.0,4.725288485054557,0.0,0.0,3.278982282299092,-3.278982282299092,3.278982282299092,3.278982282299092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14564000.0
G41,-1.2422519998557173,1.2422519998557173,-2.4692612590371392,-3.5932009226063375,2.3810648693718544,-3.5091319811270143,0.0,0.0,4.082199452025517,3.1416196233378955,-1.058210933053695,1.058210933053695,0.0,2.1506205220963484,0.0,1.0929070532190277,0.0,1.1049836186584991,-1.1049836186584991,-1.0929070532190277,-1.0929070532190277,0.0,1.0929070532190277,1.0929070532190277,0.0,0.0,0.0,0.0,0.0,-1.0929070532190277,15621000.0
F20,-8.223809823697225,-2.666824708216131,0.0,0.0,2.666824708216131,0.0,-2.666824708216131,2.666824708216131,0.0,0.0,-5.264373348542195,2.597548640326064,0.0,0.0,0.0,2.7398974188114544,0.0,0.0,2.7398974188114544,5.556985115481094,-5.556985115481094,0.0,0.0,0.0,2.7398974188114544,2.81708769666964,-2.7398974188114544,0.0,0.0,5.556985115481094,17440000.0
